Rooms,Type,Price,Bedrooms,Baths,Car,HouseArea,LotArea,BuiltYear
4,h,1833000,4,1,1,6413,,
3,h,855000,3,1,1,3014,,
3,h,930000,2,1,1,3355,,1900
4,h,1640000,4,2,1,4785,3619,1920
3,h,1480000,3,1,2,4796,1562,1910
3,t,902000,,,,,,
2,u,672000,2,1,2,2530,,1989
2,u,410000,2,1,1,,649,1970
1,u,,1,1,0,,528,1975
5,t,980000,5,2,2,2277,1848,2004
4,h,,,,,,,
2,h,1055000,2,1,1,3212,,
2,u,440000,2,1,1,,,
3,h,1435000,3,1,3,6963,,
4,h,1275000,4,2,1,6897,,
1,u,1685000,,,,,,
3,t,842500,3,2,1,2376,1716,1995
4,h,1345000,4,2,2,3443,2123,1910
1,u,265000,1,1,1,,451,1970
4,h,,4,2,4,8899,2959,1910
2,h,849000,2,1,1,3795,1045,1930
3,h,1425000,3,1,1,5786,1749,1900
3,t,1345000,3,2,1,3410,3157,1930
2,u,330000,3,1,1,,594,1970
4,t,726000,4,2,1,737,1595,2000
3,h,1250000,3,2,1,3113,2442,2002
3,t,870000,3,2,2,1716,1672,2000
2,h,801000,2,1,0,1463,,
3,h,1390000,,,,,,
3,h,1725000,3,2,3,6556,2233,1950
2,u,,2,1,1,13981,,
3,t,,3,2,1,2024,1463,1990
1,u,415000,1,1,1,,,
2,h,780000,,,,,,
2,t,,,,,,,
2,t,670000,,,,,,
3,u,650000,3,1,1,,,
2,u,600000,2,1,1,1826,891,1965
4,h,1505000,4,2,2,4851,1804,1910
1,u,,1,1,1,,429,1970
3,h,850000,3,2,1,2981,1573,1915
1,u,292000,1,1,1,,495,1970
2,h,,2,1,0,3058,,
2,h,956000,2,1,2,4785,,1920
3,h,961000,,,,,,
5,h,1740000,4,1,2,8129,1705,1930
3,h,1683000,3,2,2,2442,,1880
3,h,,3,2,2,5049,2024,1999
2,u,574000,2,2,1,1749,,
2,u,470000,2,1,1,,715,2014
3,t,1130000,3,2,2,2387,1595,2013
2,u,730000,2,1,2,2387,,
3,h,,3,1,2,5918,1276,1925
2,h,831000,2,1,1,,,
3,h,930000,3,3,1,3575,1452,1910
3,h,800000,2,1,1,2277,,
3,h,1111000,3,1,2,5522,,
2,h,900000,2,1,1,3729,,
2,h,822500,3,1,1,2409,,1900
4,h,1400000,3,2,2,6545,,
1,u,336000,1,1,1,,550,1980
2,t,800000,2,2,2,2629,1320,1970
4,h,,4,3,1,4708,2090,1920
3,h,1224000,3,1,3,9174,1573,1960
3,h,1020000,3,1,3,8481,,
3,h,1000000,3,2,2,6303,1650,1970
1,u,380500,1,1,1,1166,561,1990
4,h,930000,4,3,2,4873,44,
3,h,1090000,3,2,2,8624,1760,1960
4,h,947500,4,2,2,6699,176,
3,h,836000,3,1,4,7645,1815,1970
3,h,1417250,3,2,2,7183,1980,1950
3,h,980000,3,1,2,6853,1309,
4,t,1135000,,,,,,
3,h,1110000,3,1,4,7590,,
2,h,950000,2,1,3,7139,825,1950
4,t,,4,3,2,3641,,
3,h,750000,,,,,,
4,h,1140000,4,2,1,3498,2662,2015
3,h,,3,1,1,4246,1287,1955
3,t,750000,3,2,1,1804,1353,2010
2,u,490500,,,,,,
3,u,931000,3,1,2,3443,,
4,h,1000000,4,3,4,6391,1749,1960
2,u,655000,2,1,1,13222,,
4,h,1200000,4,2,1,7656,2354,1955
3,h,987000,3,1,1,6633,1232,1960
3,h,937000,3,2,1,5874,1144,1960
4,h,1426000,4,2,1,7920,2398,1950
4,h,,4,2,2,6457,2134,1970
4,h,,4,2,2,21483,,1930
4,h,1016000,4,3,2,2992,2068,2000
3,t,910000,3,2,2,3432,,
4,h,1385000,4,2,2,8877,,
3,h,,3,1,2,6468,1298,1950
3,t,905000,,,,,,
3,u,1035000,,,,,,
3,t,785000,3,2,2,1859,,
3,h,901000,2,2,3,6138,1463,1955
4,h,1300000,4,3,2,8173,1881,1973
3,h,975000,2,1,2,6336,1331,1940
4,h,1070000,4,2,1,6633,1540,1955
2,u,639000,2,1,1,913,869,1960
2,u,605000,2,1,2,1980,748,1980
3,h,960000,3,1,1,6523,1265,1960
3,h,725000,3,2,1,4114,1507,1950
3,h,981000,2,1,2,6611,,
3,u,985000,,,,,,
3,h,975000,3,1,2,7150,,
4,h,1035000,,,,,,
3,t,805000,,,,,,
2,u,460000,,,,,,
3,h,800000,3,2,2,2871,1177,1990
4,h,921000,4,1,2,6512,,
3,t,917000,3,2,2,5192,1672,2001
3,h,890000,3,1,1,7678,1254,1960
3,h,1008000,3,2,1,18260,1760,1960
2,h,1191000,2,1,2,8316,1067,1950
4,h,1130000,4,1,2,7018,,1972
2,h,776000,2,1,1,2299,1111,2002
4,h,1035000,3,1,2,7568,1771,1950
3,h,920000,3,1,1,7183,,
4,h,1160000,4,2,2,6468,2189,2011
3,h,825000,3,1,2,5918,,
3,t,800000,3,2,1,,,1999
3,h,,3,1,2,4576,,
1,u,240000,1,1,1,,473,1970
4,t,1105000,3,2,2,2420,2057,2015
3,h,1025000,3,2,2,3311,2145,
3,h,826000,2,1,2,3091,1100,1957
3,h,900000,3,2,2,2134,1936,2010
3,h,930000,,,,,,
3,t,962000,3,2,2,3113,1969,2011
2,h,800000,2,1,1,2684,803,1940
3,t,862000,,,,,,
3,t,863000,,,,,,
3,u,850000,,,,,,
3,h,785000,3,2,2,,,2013
3,u,,,,,,,
3,u,760000,,,,,,
4,h,710000,4,1,2,3619,1188,1955
3,h,920000,3,2,2,3256,,1910
4,h,940000,3,2,1,4169,1892,1930
3,h,655800,2,2,1,1958,1122,2009
4,h,1082000,4,3,2,2563,1815,2011
3,h,,3,2,1,3850,1353,1930
3,h,1210000,3,1,1,6006,1584,1920
4,h,,3,2,2,3795,1760,1900
3,h,880000,3,1,1,6127,1221,1950
4,h,1340000,,,,,,
1,u,335000,1,1,1,,550,2005
4,h,1260000,4,1,3,8327,1749,1960
3,h,1400000,3,2,3,27742,2145,2006
3,h,995000,3,1,2,3476,1298,1960
3,t,,3,2,2,2475,,2006
3,h,,3,1,4,5819,,
4,h,1380000,4,1,4,8426,,
3,h,1220000,3,2,0,3421,,1920
3,h,785000,3,1,1,2035,,
3,h,810000,,,,,,
3,t,595000,,,,,,
2,h,962000,2,1,1,4422,1034,1920
4,h,860000,3,3,2,2387,2145,
5,h,1220000,5,3,2,7491,,
3,h,930000,3,1,1,3377,,
3,h,930000,3,2,1,3773,,
3,h,800000,3,2,1,,1518,1970
3,h,1305000,3,1,0,3927,1232,1900
3,h,1060000,3,1,4,6600,1430,
2,u,485000,2,1,1,,715,2011
3,h,950000,3,2,1,2464,,
2,h,910000,2,1,1,2904,,
2,h,780000,,,,,,
3,h,810000,3,1,1,4290,924,1970
3,h,776000,3,1,3,3993,,
3,h,1002500,3,1,2,5511,,
3,h,807500,3,1,3,7117,1727,
2,h,1120000,1,1,3,6314,,
3,h,950000,2,2,2,3091,,1950
4,h,1620000,4,3,1,4675,2563,2015
3,h,923000,3,1,0,2431,1298,1900
2,h,1030000,2,1,2,5170,1496,1930
3,h,1046000,3,2,2,3124,1375,1890
2,u,,2,1,2,2200,1012,1996
3,h,716000,3,1,2,2948,,
2,h,740000,2,2,1,2343,1397,2006
4,h,970000,3,1,1,6809,1661,1915
3,t,735000,3,2,2,,1782,2007
2,h,762000,2,1,2,4961,,
2,u,485000,2,1,1,,693,2006
3,h,950000,3,1,2,4983,1595,1950
4,h,1280000,4,2,1,5038,1683,1930
4,h,,3,2,0,4279,4290,1900
4,h,1040000,3,2,2,3289,2178,2004
2,h,922000,2,1,0,3311,4180,
5,h,2415000,3,3,2,8833,3223,
2,h,,2,1,2,5280,,
2,h,780000,,,,,,
4,h,1115000,4,1,1,,1793,1880
3,h,1675000,3,2,2,6325,,
3,h,1176000,3,1,2,8437,1221,1960
3,h,,,,,,,
4,h,1265000,5,2,2,8514,2035,1950
2,h,801000,1,1,1,3773,1166,1920
3,h,1185000,3,1,2,8481,,
3,t,770000,3,2,2,2464,1452,2015
3,h,1200000,3,2,0,3168,,
3,h,993000,3,2,2,3828,1738,1900
3,h,901000,3,1,1,6127,,
2,h,650000,2,1,1,1639,682,1890
4,h,,4,2,3,3993,2090,2002
3,h,891500,3,1,0,3784,1430,1920
4,h,3420000,4,2,2,8327,,1886
2,u,560000,,,,,,
3,h,805000,3,1,2,3542,1144,1930
2,h,680000,2,1,1,2519,1111,2000
4,t,827500,4,3,2,2431,,
2,h,793000,2,1,1,1584,1540,1995
3,h,,3,1,1,3322,,
3,h,988000,3,1,1,4950,,
3,h,,,,,,,
3,t,747000,3,2,2,8283,1870,2005
3,h,910000,3,1,2,5841,,
2,h,896000,2,1,0,3267,1045,1900
3,h,,3,1,2,4433,,
2,h,890000,2,1,0,1848,990,1900
3,h,1199000,3,1,3,5566,,
3,t,726000,,,,,,
3,h,1100000,3,2,1,3223,,
5,h,2015000,5,2,4,11187,,
4,t,930000,4,3,3,3058,2068,2009
2,h,,2,1,1,2695,990,1948
3,h,1151000,2,1,5,6281,1320,1920
3,h,,4,2,3,5423,,
4,t,820000,4,2,2,8283,2244,2006
3,h,,3,1,2,5423,,
2,u,670000,2,1,1,2090,,
3,h,1040000,3,1,2,6545,,
4,h,1316000,4,2,3,5929,,2000
2,h,816000,2,1,1,3465,1144,1930
3,h,945000,4,2,1,5357,2090,2017
1,h,643700,1,1,0,1419,495,1900
2,h,760000,2,1,2,2805,1199,1930
8,h,881000,6,2,4,7293,2090,1920
3,h,900000,3,2,2,3960,1848,2013
3,t,830000,3,3,2,3333,2596,2013
4,t,1065000,,,,,,
3,h,780000,3,2,2,3014,,
3,h,950000,,,,,,
3,h,950000,,,,,,
3,h,1020000,3,1,2,7150,,
1,h,1330000,1,1,1,9306,,
4,h,1126000,4,2,2,7150,1650,1960
3,h,1235000,3,2,1,,2244,2009
2,u,457000,2,1,1,,979,1975
2,u,660000,2,2,1,2387,1243,2006
3,t,661000,,,,,,
3,t,770000,3,2,1,3443,1595,2011
3,h,895500,3,2,2,3817,,
4,h,1350000,4,3,2,8217,2662,1985
3,t,820000,3,2,1,2519,1980,2012
3,t,615000,,,,,,
2,t,617500,2,1,1,2607,,
2,t,672000,,,,,,
2,u,490000,2,1,1,1562,,
3,u,800000,3,2,1,,,
3,t,676000,,,,,,
3,h,991000,3,1,1,7876,1529,1950
2,u,,2,1,1,7810,803,2015
2,t,610000,,,,,,
3,u,970000,3,2,1,3520,1837,
2,h,657000,2,2,1,2948,1144,1950
2,t,590000,,,,,,
3,h,710000,3,2,1,3487,1540,1950
3,h,840000,3,1,2,6633,,
3,h,975000,3,1,1,9042,,
3,u,600000,3,2,1,1804,,
4,h,875000,4,3,1,3531,,
3,h,785000,3,1,2,6820,,
4,t,895000,,,,,,
3,t,840000,3,2,2,4114,1980,1990
3,h,1076000,3,1,1,7194,,
4,h,850000,4,3,2,7051,,
5,h,1400000,4,2,2,7150,3190,2005
4,h,1080000,3,3,2,5929,1782,1976
3,h,1065000,3,1,2,7183,,
3,h,1291000,,,,,,
3,h,773000,3,2,2,4433,,
3,u,700000,3,1,1,2222,,
3,u,760000,3,2,1,2178,,2008
2,h,1190000,2,1,2,7150,,
4,t,,4,2,2,3432,2937,2008
3,h,1015000,3,1,1,7073,1375,1950
3,h,875000,3,1,0,7216,,1950
3,h,1020000,3,1,1,7150,,
3,u,773000,3,1,1,3025,,
2,u,522500,2,1,1,1837,,
4,t,790000,,,,,,
3,h,1100000,3,1,1,7205,,
2,h,1007000,2,1,1,7106,,
3,u,,3,1,1,2827,,
4,h,1245000,4,3,3,,2475,1950
3,h,1155000,3,2,3,7183,,
3,u,746000,3,1,1,2816,,
4,h,1160000,4,3,2,4664,,
3,t,740000,,,,,,
3,t,905000,,,,,,
3,h,1105000,3,1,1,7073,1309,1950
5,h,,5,2,4,12221,,1980
2,u,591000,2,1,1,2959,,
3,h,960000,3,1,1,7095,,
3,u,815000,3,2,2,2233,,
4,h,2920000,4,3,4,3410,3036,1880
3,h,1635000,2,1,0,5687,,
1,u,491000,1,1,1,,,
2,u,540000,2,1,1,,715,1970
1,u,340000,1,1,1,,,
2,u,726000,2,1,1,,704,1970
3,h,1340000,3,1,0,913,1419,1980
2,t,1105000,2,2,1,968,1309,2010
2,t,841000,2,1,1,2365,,2000
2,u,528500,2,1,1,,814,1960
2,u,585000,2,1,1,,,
2,t,,2,1,1,1122,1045,2003
2,u,645000,2,1,1,,,
1,u,410000,1,1,1,11495,605,2011
2,u,550000,2,1,2,,594,1975
2,u,470000,2,1,1,,,
2,u,470000,2,1,1,,627,2006
4,h,,4,3,0,1859,2211,1881
2,u,475000,2,1,1,,,
2,u,640000,2,2,1,,924,2006
4,h,1330000,3,2,1,2706,,
4,h,,3,2,2,1716,1650,1880
2,u,720000,2,2,1,,1078,1998
2,t,888000,2,1,1,,,
2,h,,2,2,1,1463,1067,1900
2,h,,2,2,1,,1540,1910
3,h,1325000,3,2,1,1067,1529,2011
1,u,368000,1,1,1,,572,2003
3,t,1300000,3,2,2,737,,2005
2,u,450000,2,1,1,17468,781,1970
3,h,1385000,3,2,0,1298,1650,1890
2,u,,2,1,0,,583,2014
2,h,990000,2,2,1,6424,1320,2008
2,u,440000,2,1,1,,,1960
3,h,,3,1,1,1606,1287,1890
2,u,606000,2,1,2,,924,2000
1,u,450000,1,1,1,,660,2012
3,h,1470000,2,1,0,2552,1023,1930
2,u,591500,2,1,1,,,
2,t,1300000,2,2,1,,,
4,h,,4,2,1,1749,,
2,h,1010000,2,2,0,1199,1100,1900
2,h,1266000,2,1,0,1771,1166,1960
2,u,620000,2,1,2,,759,2004
1,u,,1,1,1,,561,2011
3,t,872000,,,,,,
2,t,700000,,,,,,
2,u,540000,2,1,1,,,1970
1,u,420000,,,,,,
2,h,1200000,2,2,1,1606,,
2,u,630000,2,1,1,,825,2002
2,h,690000,,,,,,
3,h,,3,1,0,1936,1045,1900
2,u,560000,2,1,1,25300,748,1975
2,h,800000,2,2,1,605,,2011
2,u,665500,2,2,1,,1056,2012
2,u,550055,2,1,2,11044,715,1971
1,u,358000,1,1,1,7139,473,1970
1,u,320000,1,1,1,,495,1975
3,t,1000000,3,2,1,671,1870,1920
2,u,598000,2,1,1,,935,2005
2,u,950000,2,2,1,,22,
3,t,1065000,3,2,1,704,,2008
2,h,885000,2,1,1,1221,803,1880
2,h,,2,1,0,1188,,
2,h,,2,1,1,1760,759,1910
2,u,587134,2,1,1,,11,1970
2,t,,2,1,1,,1496,1900
2,h,1286000,2,1,1,2695,1188,1890
3,h,1200000,3,1,1,2365,1375,1920
3,h,1382500,3,2,2,3146,2068,2007
2,u,630000,2,2,1,,,
4,h,1600000,4,2,1,5104,1969,1910
4,h,,4,2,2,5060,2255,1965
2,h,,2,1,1,2046,1188,1900
2,u,,2,1,1,,880,2008
3,h,1310000,3,2,1,2937,,1920
2,h,1035000,2,1,0,1540,,
3,h,1980000,3,2,4,6743,,
2,u,592000,2,1,2,,,
3,h,1335000,3,1,3,5720,,
3,h,1710000,3,1,1,2717,1760,1890
4,h,1590000,4,1,1,5324,,1925
3,h,,3,2,0,3916,1716,1910
3,h,905000,,,,,,
6,h,2000000,6,2,2,8492,2827,1992
2,u,466000,,,,,,
2,h,,2,1,1,5005,,
2,u,583000,2,2,1,,759,2011
2,u,418000,2,1,1,20702,,
3,h,,2,1,1,51040,,
3,h,860000,3,1,1,2343,,
2,t,650000,2,2,2,605,1100,2013
3,h,1280000,,,,,,
2,h,,2,1,0,2310,1111,1890
4,h,,3,2,1,5918,,1920
4,h,1700000,4,2,1,4565,2398,1900
2,h,1575000,2,1,3,6677,1386,1945
2,h,950000,2,1,1,2101,803,1920
2,u,641000,,,,,,
3,h,1655000,3,1,3,5192,1111,1924
4,h,1950000,4,1,2,6688,,1870
2,t,720000,,,,,,
4,h,905000,2,1,1,3454,,
3,h,1255000,3,2,1,2849,1716,1910
2,u,601000,2,1,1,,,
2,h,1020000,2,1,2,3817,1265,1935
2,u,460000,,,,,,
1,u,435000,1,1,2,,605,1970
2,h,790000,2,1,1,1496,858,2000
3,h,990000,2,1,2,5467,,
2,u,605000,2,1,2,,715,2000
2,h,,,,,,,
2,u,,,,,,,
2,h,1153000,,,,,,
4,h,2270000,4,2,2,4840,,1992
1,u,385000,1,1,0,,451,1970
4,h,1300000,,,,,,
2,u,,2,1,1,7458,,1965
2,h,900000,2,1,0,4037,,
4,h,1340000,4,1,2,,,
3,h,1300000,3,2,1,4169,,
2,t,680000,,,,,,
4,h,1310000,4,2,2,3102,,
2,h,1112000,4,1,2,2618,,
5,h,,4,2,2,4862,3179,1950
3,h,,3,1,2,5852,1265,1923
2,h,910000,2,1,2,2519,,1900
4,h,,,,,,,
2,u,520000,,,,,,
3,h,,3,2,0,1507,1540,1920
3,t,830000,3,3,1,605,,2013
4,h,,,,,,,
4,h,2100000,4,1,2,,,
3,t,1102000,,,,,,
3,h,1190000,3,1,1,4895,1375,1920
4,h,,4,2,2,,,
3,t,865000,3,1,2,2024,1188,2006
3,h,,3,2,1,2970,,1930
3,h,,3,2,2,3146,2068,2007
4,h,2175000,5,2,1,6303,2046,1890
3,h,1085000,3,1,2,6710,,
1,u,312000,1,1,1,,429,1960
5,h,,6,3,2,8547,4235,2001
1,u,320000,1,1,0,,,
2,h,890000,2,1,1,2475,1012,1910
2,h,,2,1,1,2959,,1920
3,t,875000,,,,,,
5,h,2700000,4,3,3,5390,3641,1920
2,h,1101000,2,1,0,2519,1089,1910
2,h,550000,,,,,,
3,h,926000,3,1,2,4180,,
5,h,,5,2,0,3861,1650,1925
3,h,1050000,3,1,0,1738,1166,1910
3,h,1010000,3,1,1,1958,1364,2000
5,h,2155000,5,2,2,7612,,1920
2,h,,2,2,1,,,
2,u,430000,2,1,1,,,1970
3,h,1900000,3,1,1,5742,1914,1910
2,h,888000,2,1,1,2090,1122,1985
2,h,1020000,2,1,1,3894,1067,1920
3,h,1160000,2,3,2,4675,,
2,h,844000,2,1,1,1914,1166,1995
3,h,1860000,2,3,1,4928,,
3,h,1676000,3,1,2,4411,,
3,t,900000,3,2,2,6688,1518,2012
3,h,1300000,3,1,1,3608,1485,1920
3,u,810000,3,1,2,1650,1309,2000
3,h,,3,2,1,3058,1661,1900
2,t,701000,2,1,1,,1199,2000
1,u,410000,1,1,0,,,
2,h,1255000,2,1,2,3454,1320,
1,u,310000,,,,,,
3,h,1215000,,,,,,
2,u,665000,2,1,1,1320,836,1975
2,h,1800000,,,,,,
4,h,,4,1,1,3861,1408,1925
2,h,1085000,2,2,1,1672,1320,
3,h,2315000,3,1,2,9889,1573,1960
4,h,,4,2,2,6974,,1920
2,h,1170000,2,1,3,4983,1023,1920
2,h,875000,2,1,1,,,
3,h,,3,1,2,2035,1155,1890
3,h,1715000,3,1,1,4477,1573,1900
3,h,1396500,3,1,1,3322,,
1,u,422000,1,1,1,,440,1970
3,h,1474000,3,1,0,3344,1441,1910
3,h,1340000,3,2,1,1815,,1997
3,h,980000,3,1,0,3069,,
2,h,1035000,2,1,2,2673,1122,1890
2,u,460000,2,1,1,,715,2009
3,h,1760000,2,2,2,4433,1980,1920
2,t,700000,,,,,,
3,h,975000,3,1,2,3014,,2006
2,h,,2,1,1,3102,,
4,h,,4,2,0,3069,1727,1920
2,h,1095000,2,1,2,3366,946,1910
3,h,1121000,3,1,0,,,
1,u,370000,2,1,1,,,
3,h,1225000,3,1,2,3377,1485,1910
4,h,2004000,3,2,1,6259,,
2,h,1211000,2,1,1,1958,1100,1900
5,h,4300000,4,4,3,6259,,1910
2,t,,2,2,1,440,22,
3,h,1400000,3,1,1,3685,,
2,u,770000,2,1,1,1419,1265,1975
3,h,1090000,3,1,2,3498,,
4,h,1830000,3,1,1,7194,,
3,h,1000000,3,1,1,4840,1441,1930
2,u,600000,2,1,1,7381,,
2,h,,2,1,0,2156,,
2,u,692000,2,1,1,,,2012
1,u,389000,,,,,,
3,h,1620500,,,,,,
3,t,980000,3,2,2,2145,,
2,h,722000,,,,,,
4,h,1310000,4,2,1,3905,,
3,h,,3,1,1,2761,1419,1925
2,h,1050000,2,1,2,3311,1100,1925
4,h,1100000,,,,,,
5,h,1700000,5,3,1,4950,2915,1930
3,h,2160000,3,2,1,3718,990,1920
2,h,960000,,,,,,
2,h,,2,2,2,3520,,
3,h,1610000,3,1,2,5511,,
1,u,400000,1,1,1,,473,2014
4,h,1420000,3,1,1,5115,1507,1890
3,h,,3,1,1,2717,,
4,h,1950000,4,2,1,5379,1540,1910
5,h,1820000,5,3,2,3784,2530,1939
4,h,1900000,3,2,1,5907,,
3,h,1080000,2,1,1,3828,1430,1910
2,h,,3,2,1,1925,891,1910
3,h,,3,1,1,2717,,
3,h,,3,1,1,2123,,
2,u,570000,2,1,1,,110,1970
3,h,1450000,3,1,1,5379,,1900
2,h,,2,1,1,5181,,
3,h,1400000,3,1,2,6402,,1932
2,h,1340000,2,1,1,3267,1188,1910
1,u,340000,1,1,1,,,
4,h,1300000,4,3,2,2057,,1970
4,h,2340000,4,2,3,9064,2541,1920
2,h,1634000,2,1,2,4136,1199,1920
4,h,,3,1,0,4587,,
2,h,910000,2,1,1,1650,891,1995
4,h,1650000,4,1,1,4202,1848,1970
3,t,1130000,3,2,1,2519,,
4,h,3850000,4,4,8,15290,,1912
3,h,,3,2,2,2508,1122,1915
3,h,1510000,3,1,3,3597,1815,1900
3,h,1500000,4,1,8,7997,,1900
4,h,2315000,3,2,4,8250,,
4,t,670000,,,,,,
3,h,892000,3,1,3,8327,,
2,h,592000,2,1,2,6347,,
3,u,647000,3,1,2,2750,,
3,u,,,,,,,
4,h,865000,4,1,2,7656,1760,1955
4,h,1350000,4,2,2,6490,2607,
4,h,670000,,,,,,
2,u,476000,2,1,1,2079,935,1995
3,t,,3,2,2,1936,1243,2010
2,h,,2,1,1,1672,935,2000
4,h,830000,4,2,2,6776,,1950
4,h,,,,,,,
3,h,706000,3,1,0,7865,1221,1960
4,h,920000,4,2,2,8580,1969,1965
2,u,,,,,,,
3,h,,3,2,2,3597,2145,2000
2,u,522000,2,1,1,1771,1001,2012
4,h,,4,2,2,7315,2794,2005
3,u,358500,3,1,1,,,
4,h,690000,3,1,1,6083,1507,1960
3,h,,3,1,1,3036,1034,1950
2,t,520000,,,,,,
4,h,800000,4,2,1,6479,,
4,t,,4,2,1,4455,2486,2000
3,t,770000,3,2,2,2992,1518,2012
5,h,1100000,5,2,4,8613,2453,1950
5,h,,,,,,,
3,h,727500,3,1,2,7909,,
3,u,600000,,,,,,
4,h,,3,2,2,7634,1045,1950
3,h,1160000,,,,,,
3,h,925000,3,1,4,8965,,1997
2,t,475000,2,1,1,1298,1243,2010
2,u,,2,1,1,1518,836,2009
2,t,,2,2,1,1485,1375,2011
4,t,715750,,,,,,
3,h,862500,,,,,,
3,u,651000,3,2,2,2178,1243,2009
3,t,770000,3,2,2,2904,,
3,h,900000,3,1,1,7755,,
3,h,815500,3,2,2,8690,1815,1940
3,h,770000,3,2,2,4202,1903,1960
3,t,599900,,,,,,
2,t,585500,2,1,1,1771,946,2013
4,h,840000,4,1,2,7744,2156,1960
3,t,765000,,,,,,
4,h,1005000,4,1,1,8580,,
3,h,,3,1,1,7293,1892,1951
6,h,,5,2,1,9339,2365,1960
2,u,470000,2,1,1,1518,836,2009
3,h,810000,3,1,3,8393,1023,1960
3,t,600000,,,,,,
3,t,675500,,,,,,
3,h,723000,,,,,,
2,h,626000,,,,,,
3,h,590000,,,,,,
3,h,1201000,,,,,,
3,u,550000,3,1,1,2156,,
3,h,940000,,,,,,
4,h,855333,4,1,2,7634,2013,1974
2,t,572000,,,,,,
5,h,900000,5,2,2,6248,2860,1995
2,h,480000,2,1,2,,,
4,h,991000,,,,,,
2,h,1242000,,,,,,
2,t,665000,,,,,,
3,t,680000,3,2,1,2079,1353,
3,h,981000,3,1,2,7106,,
4,h,1100000,,,,,,
4,h,876000,4,2,1,5885,,
3,h,875000,3,2,1,2838,1155,1999
3,h,,3,2,3,,1507,1970
3,h,,,,,,,
4,h,651000,4,2,2,2354,2079,2010
3,h,802000,1,1,2,5863,1320,1960
3,h,995000,3,1,1,5830,,
3,h,885000,,,,,,
4,h,881500,4,2,2,6391,,
9,h,1380000,,,,,,
4,h,1346000,,,,,,
4,h,980000,,,,,,
5,h,900000,5,2,2,6138,2629,1987
3,h,782000,3,2,2,,,
2,h,580000,2,1,2,4708,,
4,h,,4,2,2,6556,1771,1980
2,u,665000,,,,,,
2,u,,,,,,,
3,h,937500,3,1,2,5830,,
3,h,1080000,3,2,2,7876,,
3,h,1000000,3,2,2,6325,1320,1960
2,h,800000,,,,,,
3,u,615000,,,,,,
3,h,,3,1,2,6215,1210,1965
3,h,1235000,3,1,4,8173,,
4,h,801347,4,2,1,6237,1804,1970
3,h,765000,,,,,,
3,u,710000,,,,,,
3,h,921000,3,1,2,5885,1419,1970
6,h,1900000,6,2,6,13200,1991,1970
2,h,752500,2,1,1,3388,1232,1950
3,h,,,,,,,
4,h,800000,4,2,2,6138,,
4,h,1225000,,,,,,
3,h,1200500,,,,,,
4,h,,4,2,4,6622,1441,1950
3,h,1141000,,,,,,
3,t,800000,3,1,2,2772,,
3,h,1125000,,,,,,
5,h,,5,2,4,12936,,
3,h,1067000,3,1,2,7128,1342,1940
4,h,1310000,4,2,4,10923,,1960
3,h,800000,3,2,2,,,
3,h,1260500,3,1,1,8514,1177,1950
4,h,676000,,,,,,
2,h,,2,1,2,7150,1309,1950
3,h,850500,3,1,2,5841,1298,1962
2,u,625000,2,1,1,2244,,
3,h,980500,3,2,2,7997,,
3,h,1068000,3,2,2,6699,1892,1970
4,h,840000,,,,,,
3,t,935000,,,,,,
3,h,800000,,,,,,
4,h,937500,4,2,2,5929,2486,1993
3,h,900000,,,,,,
4,h,1410000,,,,,,
4,h,1126000,4,2,2,5830,2662,1980
2,h,778000,2,1,1,8866,979,1965
4,h,1230000,4,2,2,3927,2739,2009
3,u,1360000,3,2,1,,1529,
5,h,1300000,,,,,,
4,h,,4,3,1,3685,,
2,h,1805000,2,1,1,2057,1122,1890
1,u,352500,1,1,1,,,
8,u,3210000,,,,,,
2,u,500000,,,,,,
2,h,,2,1,0,2882,1639,1880
1,u,395000,1,1,1,27159,,
5,h,,,,,,,
1,h,307000,1,1,1,,,
2,h,2200000,2,2,1,2090,1892,1875
1,u,485000,1,1,1,,,
10,h,2800000,,,,,,
1,u,,1,1,1,,561,2005
4,h,1717500,4,2,1,1815,,
2,h,1265000,2,1,0,770,1122,1890
1,u,401000,1,1,1,,,
4,h,2375000,4,2,2,2002,,
4,h,1340000,,,,,,
2,h,1851000,2,1,1,1892,,1900
2,u,734600,2,2,1,26697,,1990
4,h,1928000,4,1,0,2134,2046,1890
1,u,526000,1,1,1,27368,550,1995
3,h,2236000,4,2,1,1694,2156,1890
1,u,500000,1,1,1,26741,,
3,u,1403000,3,2,2,26411,1452,1980
3,h,965000,3,2,2,1903,,
3,u,1040000,3,2,1,,,
1,u,526000,1,1,1,,,1995
2,u,750000,2,1,1,24123,,
3,h,1120000,2,1,2,550,1551,1950
3,h,770000,3,1,4,6160,1320,1960
2,t,455000,,,,,,
2,u,,2,1,1,1738,924,2006
2,h,915000,2,1,3,6919,,1975
2,t,,2,1,1,1727,,
4,h,975000,4,1,1,8063,1749,1960
3,h,770000,3,1,0,5104,,
3,h,780000,3,1,1,4906,1265,1950
4,h,1276000,,,,,,
3,u,600000,3,1,1,2244,1364,2008
3,h,1465000,3,1,2,10516,,
2,h,,2,2,2,4620,,
3,h,,3,1,1,4499,,
4,h,955000,4,2,2,7546,1485,1950
3,h,767000,3,1,1,5555,,
4,h,1196000,4,2,2,6149,3091,1997
3,h,731000,3,1,2,6248,1221,1960
2,h,555000,2,1,2,3696,,
